ID,Año,Semana Epidemiológica (a),Total de Casos de Dengue (b),Tasa de Incidencia (c),Confirmados Laboratorio,% Lab Conf (x100),Dengue Grave (d),(DG/D) x100 (e),Muertes,Letalidad (f),Población X 1000,ID_Pais_Subregion,ID_Serotipo,ID_Calendario
64,2020,53,53953,"858,44073",1259,"2,33351",70,"0,12974",1,0.00185,6285,6,6,4
65,2021,52,36741,"548,20949",515,"1,40170",22,"0,05988",0,0.00000,6702,6,6,5
66,2015,52,49326,"788,33307",4082,"8,27555",15,"0,03041",15,0.03041,6257,6,9,7
67,2020,53,3987,"95,77228",1828,"45,84901",11,"0,27590",6,0.15049,4163,7,10,4
68,2018,52,7944,"190,82393",4313,"54,29255",16,"0,20141",3,0.03776,4163,7,1,2
69,2021,52,3685,"84,09402",2155,"58,48033",6,"0,16282",2,0.05427,4382,7,1,5
70,2022,52,11924,"271,12324",8029,"67,33479",21,"0,17612",5,0.04193,4398,7,1,9
71,2014,53,5517,"140,52471",3145,"57,00562",20,"0,36252",9,0.16313,3926,7,2,6
72,2015,52,4815,"120,73721",2453,"50,94496",14,"0,29076",4,0.08307,3988,7,2,7
73,2016,52,9526,"238,74687",3286,"34,49507",29,"0,30443",9,0.09448,3990,7,2,8
74,2017,52,10702,"261,08807",4518,"42,21641",16,"0,14950",2,0.01869,4099,7,2,1
75,2023,52,20924,"469,46376",16577,"79,22481",49,"0,23418",18,0.08603,4457,7,3,10
76,2024,18,5882,"131,97218",4141,"70,40122",27,"0,45903",9,0.15301,4457,7,3,11
77,2019,52,9661,"232,06822",5055,"52,32378",19,"0,19667",6,0.06211,4163,7,11,3
78,2019,52,19987,"178,20078",7353,"36,78891",102,"0,51033",30,0.15010,11216,8,1,3
79,2020,53,111347,"992,75143",14678,"13,18221",696,"0,62507",41,0.03682,11216,8,1,4
80,2021,52,8947,"75,61058",2402,"26,84699",21,"0,23472",2,0.02235,11833,8,1,5
81,2022,52,16544,"139,81239",4362,"26,36605",63,"0,38080",10,0.06044,11833,8,1,9
82,2023,52,156774,"1.324,88803",23922,"15,25891",733,"0,46755",88,0.05613,11833,8,1,10
83,2024,15,25364,"214,34970",5552,"21,88929",114,"0,44946",9,0.03548,11833,8,1,11
84,2018,52,7597,"67,73359",1348,"17,74385",60,"0,78979",6,0.07898,11216,8,2,2
